Frekuensi,Z-M1,Fase,Kategori
35000,3632.886,-0.984,diabetes
40000,3610.49,0.991,diabetes
45000,3593.953,3.047,diabetes
50000,3568.452,5.214,diabetes
55000,3542.801,7.407,diabetes
60000,3521.621,9.604,diabetes
65000,3499.256,11.806,diabetes
70000,3472.149,13.992,diabetes
75000,3448.159,16.205,diabetes
80000,3416.644,18.398,diabetes
85000,3403.544,20.558,diabetes
90000,3377.179,22.726,diabetes
95000,3359.821,24.918,diabetes
100000,3330.673,27.051,diabetes
100,4482.913,14.028,diabetes
150,4161.524,7.84,diabetes
200,3973.673,3.631,diabetes
250,3866.072,0.875,diabetes
300,3802.131,-1.04,diabetes
350,3744.507,-2.444,diabetes
400,3702.99,-3.378,diabetes
450,3676.716,-4.125,diabetes
500,3661.247,-4.633,diabetes
550,3647.551,-4.939,diabetes
600,3644.477,-4.904,diabetes
650,3631.184,-4.817,diabetes
700,3626.085,-6.202,diabetes
750,3625.745,-6.623,diabetes
800,3612.859,-6.845,diabetes
850,3611.844,-7.068,diabetes
900,3595.637,-7.166,diabetes
950,3603.393,-7.256,diabetes
1000,3580.509,-7.455,diabetes
1500,3545.458,-8.207,diabetes
2000,3528.887,-8.092,diabetes
2500,3522.281,-8.428,diabetes
3000,3517.993,-8.049,diabetes
3500,3516.675,-7.872,diabetes
4000,3512.065,-8.238,diabetes
4500,3513.382,-8.301,diabetes
5000,3509.105,-8.547,diabetes
5500,3512.394,-8.3,diabetes
6000,3509.434,-8.299,diabetes
6500,3510.749,-8.382,diabetes
7000,3515.357,-9.028,diabetes
7500,3516.675,-9.253,diabetes
8000,3510.749,-8.861,diabetes
8500,3518.982,-9.105,diabetes
9000,3512.724,-8.862,diabetes
9500,3514.04,-9.319,diabetes
10000,3513.053,-9.37,diabetes
15000,3508.776,-10.62,diabetes
20000,3503.192,-5.132,diabetes
25000,3495.324,-4.396,diabetes
30000,3487.146,-2.821,diabetes
35000,3481.923,-0.971,diabetes
40000,3472.475,0.987,diabetes
45000,3464.351,3.055,diabetes
50000,3453.656,5.238,diabetes
55000,3438.481,7.408,diabetes
60000,3427.224,9.633,diabetes
65000,3428.187,11.805,diabetes
70000,3414.404,13.996,diabetes
75000,3408.65,16.217,diabetes
80000,3391.13,18.371,diabetes
85000,3388.59,20.531,diabetes
90000,3366.438,22.743,diabetes
95000,3353.217,24.891,diabetes
100000,3349.763,27.059,diabetes
100,4494.689,13.917,diabetes
150,4134.707,7.812,diabetes
200,3948.807,3.62,diabetes
250,3820.701,0.883,diabetes
300,3757.862,-1.042,diabetes
350,3690.521,-2.444,diabetes
400,3655.762,-3.572,diabetes
450,3636.632,-4.203,diabetes
