Frekuensi,Z-M1,Fase,Kategori
100000,4252.175,36.154,Sehat
100,6419.859,25.342,Sehat
150,5956.257,19.824,Sehat
200,5648.626,15.748,Sehat
250,5448.502,13.092,Sehat
300,5285.095,11.002,Sehat
350,5183.096,9.459,Sehat
400,5085.924,8.2,Sehat
450,5025.766,7.327,Sehat
500,4995.252,6.549,Sehat
550,4949.596,5.891,Sehat
600,4902.061,5.373,Sehat
650,4887.843,5.034,Sehat
700,4870.928,4.595,Sehat
750,4846.801,4.375,Sehat
800,4832.744,4.065,Sehat
850,4811.509,3.887,Sehat
900,4807.004,3.581,Sehat
950,4790.817,3.44,Sehat
1000,4770.661,3.3,Sehat
1500,4693.518,2.509,Sehat
2000,4652.799,2.028,Sehat
2500,4618.92,1.832,Sehat
3000,4593.458,1.891,Sehat
3500,4565.997,1.81,Sehat
4000,4552.754,1.479,Sehat
4500,4529.354,1.639,Sehat
5000,4525.96,1.491,Sehat
5500,4517.487,1.59,Sehat
6000,4514.948,1.54,Sehat
6500,4506.918,1.615,Sehat
7000,4511.565,1.572,Sehat
7500,4507.34,1.716,Sehat
8000,4496.795,1.694,Sehat
8500,4501.432,1.756,Sehat
9000,4498.481,1.69,Sehat
9500,4500.167,1.813,Sehat
10000,4495.531,1.884,Sehat
15000,4480.813,2.448,Sehat
20000,4467.399,3.344,Sehat
25000,4454.443,4.536,Sehat
30000,4446.104,6.004,Sehat
35000,4434.04,7.745,Sehat
40000,4414.144,9.626,Sehat
45000,4399.692,11.592,Sehat
50000,4389.81,13.792,Sehat
55000,4374.209,15.997,Sehat
60000,4365.202,18.221,Sehat
65000,4351.726,20.457,Sehat
70000,4342.359,22.743,Sehat
75000,4330.982,24.982,Sehat
80000,4319.635,27.167,Sehat
85000,4311.144,29.485,Sehat
90000,4294.615,31.724,Sehat
95000,4276.546,33.955,Sehat
100000,4250.183,36.128,Sehat
100,6412.645,25.35,Sehat
150,5944.549,19.698,Sehat
200,5639.108,15.988,Sehat
250,5441.36,13.043,Sehat
300,5288.067,11.026,Sehat
350,5186.497,9.426,Sehat
400,5088.307,8.25,Sehat
450,5036.136,7.277,Sehat
500,4995.72,6.531,Sehat
550,4948.205,5.875,Sehat
600,4908.955,5.436,Sehat
650,4895.635,4.973,Sehat
700,4871.385,4.573,Sehat
750,4852.253,4.229,Sehat
800,4832.744,4.016,Sehat
850,4815.568,3.785,Sehat
900,4801.602,3.54,Sehat
950,4789.471,3.375,Sehat
1000,4774.238,3.283,Sehat
1500,4688.244,2.358,Sehat
2000,4653.671,1.948,Sehat
2500,4619.786,1.6,Sehat
3000,4590.876,1.721,Sehat
3500,4554.887,1.449,Sehat
4000,4548.49,1.47,Sehat
4500,4536.149,1.46,Sehat
5000,4524.264,1.38,Sehat
5500,4520.027,1.441,Sehat
6000,4520.027,1.461,Sehat
6500,4516.217,1.479,Sehat
7000,4509.875,1.422,Sehat
7500,4509.03,1.496,Sehat
8000,4508.185,1.594,Sehat
8500,4505.651,1.697,Sehat
9000,4497.216,1.627,Sehat
9500,4506.074,1.667,Sehat
10000,4500.588,1.661,Sehat
15000,4485.014,2.402,Sehat
20000,4477.876,3.323,Sehat
25000,4461.543,4.464,Sehat
30000,4441.108,5.98,Sehat
35000,4427.398,7.68,Sehat
40000,4418.695,9.577,Sehat
45000,4410.423,11.565,Sehat
50000,4392.279,13.742,Sehat
55000,4379.13,15.997,Sehat
60000,4367.247,18.224,Sehat
65000,4352.134,20.424,Sehat
70000,4343.172,22.748,Sehat
75000,4333.011,24.973,Sehat
80000,4324.899,27.205,Sehat
85000,4309.125,29.503,Sehat
90000,4293.408,31.776,Sehat
95000,4283.765,33.977,Sehat
100000,4251.776,36.232,Sehat
100,6396.444,24.895,Sehat
150,5945.106,19.626,Sehat
200,5647.567,15.782,Sehat
250,5438.811,12.95,Sehat
300,5280.146,10.905,Sehat
350,5186.011,9.38,Sehat
400,5088.307,8.2,Sehat
450,5027.65,7.28,Sehat
500,4986.367,6.451,Sehat
550,4942.182,5.83,Sehat
600,4914.477,5.319,Sehat
650,4887.385,4.872,Sehat
700,4860.899,4.562,Sehat
750,4854.072,4.312,Sehat
800,4836.821,3.998,Sehat
850,4814.215,3.752,Sehat
900,4804.302,3.553,Sehat
950,4790.368,3.447,Sehat
1000,4767.533,3.283,Sehat
1500,4696.597,2.347,Sehat
2000,4652.363,1.867,Sehat
2500,4615.892,1.751,Sehat
3000,4588.296,1.554,Sehat
3500,4560.011,1.455,Sehat
4000,4547.638,1.486,Sehat
4500,4544.657,1.498,Sehat
5000,4539.55,1.426,Sehat
5500,4519.18,1.457,Sehat
6000,4520.451,1.445,Sehat
6500,4510.72,1.415,Sehat
7000,4513.256,1.481,Sehat
7500,4506.918,1.569,Sehat
8000,4506.496,1.529,Sehat
8500,4500.167,1.546,Sehat
9000,4499.324,1.698,Sehat
9500,4498.902,1.71,Sehat
10000,4499.324,1.786,Sehat
15000,4485.434,2.444,Sehat
20000,4470.749,3.323,Sehat
25000,4463.634,4.54,Sehat
30000,4453.608,6,Sehat
35000,4438.612,7.68,Sehat
40000,4420.351,9.596,Sehat
45000,4401.341,11.563,Sehat
50000,4395.984,13.768,Sehat
55000,4385.288,16.01,Sehat
60000,4369.294,18.253,Sehat
65000,4361.931,20.472,Sehat
70000,4348.873,22.735,Sehat
75000,4333.417,25.012,Sehat
80000,4320.04,27.212,Sehat
85000,4311.144,29.495,Sehat
90000,4308.318,31.736,Sehat
95000,4285.371,33.993,Sehat
100000,4265.742,36.222,Sehat
100,6376.1,24.837,Sehat
150,5957.373,19.631,Sehat
200,5650.214,15.758,Sehat
250,5434.736,13.019,Sehat
300,5281.135,10.896,Sehat
350,5191.358,9.366,Sehat
400,5096.896,8.191,Sehat
450,5037.551,7.246,Sehat
500,4991.041,6.454,Sehat
550,4944.034,5.885,Sehat
600,4920.006,5.37,Sehat
650,4890.134,4.942,Sehat
700,4871.841,4.545,Sehat
750,4857.712,4.296,Sehat
800,4843.169,4.016,Sehat
850,4824.601,3.725,Sehat
900,4808.805,3.581,Sehat
950,4792.613,3.433,Sehat
1000,4780.952,3.247,Sehat
1500,4685.609,2.396,Sehat
2000,4653.671,1.908,Sehat
2500,4626.283,1.756,Sehat
3000,4593.028,1.599,Sehat
3500,4574.989,1.529,Sehat
4000,4550.195,1.527,Sehat
4500,4543.379,1.568,Sehat
5000,4537.849,1.452,Sehat
5500,4529.778,1.457,Sehat
6000,4518.334,1.566,Sehat
6500,4517.487,1.544,Sehat
7000,4514.525,1.497,Sehat
7500,4508.607,1.415,Sehat
8000,4502.275,1.544,Sehat
8500,4503.963,1.573,Sehat
9000,4499.745,1.601,Sehat
9500,4503.963,1.612,Sehat
10000,4496.795,1.714,Sehat
15000,4490.9,2.39,Sehat
20000,4475.778,3.317,Sehat
25000,4469.493,4.468,Sehat
30000,4459.036,5.98,Sehat
35000,4441.94,7.731,Sehat
40000,4420.766,9.617,Sehat
45000,4411.249,11.618,Sehat
50000,4393.925,13.818,Sehat
55000,4384.467,16.015,Sehat
60000,4368.066,18.216,Sehat
65000,4354.173,20.457,Sehat
70000,4338.698,22.748,Sehat
75000,4328.548,25.049,Sehat
80000,4323.279,27.26,Sehat
85000,4319.23,29.5,Sehat
90000,4302.67,31.771,Sehat
95000,4284.568,34.023,Sehat
100000,4258.155,36.267,Sehat
100,6406.64,25.421,Sehat
150,5955.141,19.667,Sehat
200,5637.523,15.917,Sehat
250,5437.283,13.024,Sehat
300,5283.115,10.938,Sehat
350,5198.172,9.364,Sehat
400,5097.373,8.188,Sehat
450,5040.384,7.223,Sehat
500,4998.529,6.477,Sehat
550,4954.7,5.895,Sehat
600,4914.477,5.376,Sehat
650,4893.342,4.958,Sehat
700,4872.298,4.545,Sehat
750,4858.167,4.264,Sehat
800,4838.634,4.016,Sehat
850,4825.505,3.778,Sehat
900,4802.052,3.51,Sehat
950,4791.266,3.381,Sehat
1000,4774.238,3.276,Sehat
1500,4703.643,2.471,Sehat
2000,4655.415,1.979,Sehat
2500,4630.619,1.844,Sehat
3000,4595.61,1.618,Sehat
3500,4577.133,1.54,Sehat
4000,4552.327,1.597,Sehat
4500,4544.231,1.661,Sehat
5000,4536.574,1.602,Sehat
5500,4522.993,1.535,Sehat
6000,4520.451,1.661,Sehat
6500,4512.834,1.544,Sehat
7000,4513.679,1.528,Sehat
7500,4507.763,1.65,Sehat
8000,4503.541,1.55,Sehat
8500,4509.875,1.624,Sehat
9000,4501.01,1.709,Sehat
9500,4503.541,1.624,Sehat
10000,4503.541,1.774,Sehat
15000,4483.753,2.448,Sehat
20000,4476.198,3.349,Sehat
25000,4465.725,4.499,Sehat
30000,4455.278,6.015,Sehat
35000,4441.94,7.722,Sehat
40000,4424.91,9.66,Sehat
45000,4410.423,11.64,Sehat
50000,4398.044,13.841,Sehat
55000,4386.932,16.01,Sehat
60000,4367.656,18.224,Sehat
65000,4358.255,20.485,Sehat
70000,4344.8,22.796,Sehat
75000,4336.666,24.977,Sehat
80000,4321.659,27.225,Sehat
85000,4315.59,29.55,Sehat
90000,4303.476,31.749,Sehat
95000,4286.977,33.998,Sehat
100000,4267.741,36.274,Sehat
100,6412.645,24.47,Sehat
150,5945.663,19.683,Sehat
200,5640.164,15.878,Sehat
250,5429.647,12.986,Sehat
300,5279.157,10.948,Sehat
350,5193.791,9.424,Sehat
400,5099.284,8.18,Sehat
450,5043.218,7.268,Sehat
500,4997.124,6.52,Sehat
550,4944.961,5.822,Sehat
600,4905.277,5.363,Sehat
650,4891.05,4.961,Sehat
700,4875.494,4.599,Sehat
750,4852.253,4.334,Sehat
800,4846.347,4.065,Sehat
850,4820.534,3.768,Sehat
900,4807.004,3.574,Sehat
950,4790.817,3.399,Sehat
1000,4772.002,3.283,Sehat
1500,4700.999,2.338,Sehat
2000,4657.597,1.856,Sehat
2500,4624.116,1.872,Sehat
3000,4602.073,1.897,Sehat
3500,4582.282,1.795,Sehat
4000,4557.876,1.61,Sehat
4500,4544.657,1.444,Sehat
5000,4540.401,1.722,Sehat
5500,4528.929,1.835,Sehat
6000,4524.688,1.533,Sehat
6500,4517.91,1.628,Sehat
7000,4513.679,1.581,Sehat
7500,4509.03,1.629,Sehat
8000,4507.34,1.703,Sehat
8500,4508.607,1.689,Sehat
9000,4507.34,1.806,Sehat
9500,4503.119,1.839,Sehat
10000,4498.059,2.026,Sehat
15000,4491.742,2.686,Sehat
20000,4475.778,3.349,Sehat
25000,4470.749,4.471,Sehat
30000,4452.774,6.051,Sehat
35000,4439.028,7.747,Sehat
40000,4429.472,9.66,Sehat
45000,4425.739,11.713,Sehat
50000,4398.456,13.771,Sehat
55000,4377.899,16.008,Sehat
60000,4368.066,18.26,Sehat
65000,4359.48,20.559,Sehat
70000,4356.213,22.768,Sehat
75000,4336.666,25.045,Sehat
80000,4324.494,27.283,Sehat
85000,4315.59,29.53,Sehat
90000,4301.864,31.769,Sehat
95000,4287.379,34.01,Sehat
100000,4261.348,36.236,Sehat
