,Frekuensi,Z-M1,Fase,Kategori
559,600,3670.82,-6.917,diabetes
560,900,3575.102,-8.263,diabetes
561,4500,3799.639,-8.199,diabetes
562,65000,4359.48,20.559,Sehat
563,500,3823.924,-5.49,diabetes
564,4500,4545.934,1.412,Sehat
565,5500,4247.397,-2.611,prediabet
566,8500,3626.085,-10.554,diabetes
567,200,3927.039,0.988,diabetes
568,95000,3670.176,29.201,prediabet
569,800,3540.478,-9.215,diabetes
570,25000,4167.767,1.199,prediabet
571,950,3746.261,-9.567,diabetes
572,800,4081.974,-2.291,prediabet
573,700,4268.14,-0.599,prediabet
574,100000,4250.183,36.128,Sehat
575,25000,3615.524,-5.654,diabetes
576,3500,3901.368,-3.321,prediabet
577,50000,3653.023,5.23,diabetes
578,5500,4018.602,-3.459,prediabet
579,850,4174.802,-1.142,prediabet
580,7500,3379.078,-10.538,diabetes
581,6000,4520.451,1.445,Sehat
582,4000,3401.313,-10.789,diabetes
583,55000,4342.359,15.82,Sehat
584,6000,3238.662,-10.711,diabetes
585,100000,3722.47,31.388,prediabet
586,60000,3628.803,9.633,diabetes
587,70000,3823.207,20.068,prediabet
588,4000,4524.264,1.332,Sehat
589,400,3643.453,-5.865,diabetes
590,45000,3550.444,3.073,diabetes
591,55000,3880.952,12.431,prediabet
592,40000,4420.766,9.617,Sehat
593,85000,3849.085,26.603,prediabet
594,20000,4236.666,0.066,prediabet
595,6000,3876.228,-4.388,prediabet
596,200,4360.297,7.602,prediabet
597,10000,3993.829,-2.757,prediabet
598,850,4128.127,-1.113,prediabet
599,7500,3460.782,-8.529,diabetes
600,45000,3710.63,3.07,diabetes
601,300,4136.645,3.164,prediabet
602,75000,3468.206,15.282,diabetes
603,400,3914.182,-3.614,diabetes
604,40000,3972.184,7.026,prediabet
605,500,3844.714,-5.287,diabetes
606,350,4023.499,-2.506,diabetes
607,3000,3971.812,-2.203,prediabet
608,7500,4484.593,1.481,Sehat
609,6000,3463.053,-8.676,diabetes
610,5000,3980.007,-2.498,prediabet
611,60000,3896.619,15.716,prediabet
612,550,4149.066,-0.67,prediabet
613,100,4432.741,12.847,diabetes
614,650,4895.635,4.973,Sehat
615,700,3709.587,-8.927,diabetes
616,10000,3977.025,-1.986,prediabet
617,20000,3599.975,-7.031,diabetes
618,15000,3719.68,-5.65,diabetes
619,9500,4497.638,1.629,Sehat
620,95000,3791.104,31.098,prediabet
621,70000,3482.575,11.935,diabetes
622,100,4547.212,14.074,diabetes
623,500,3654.393,-7.386,diabetes
624,70000,3702.643,18.243,prediabet
625,85000,4078.915,26.415,prediabet
626,4000,3468.898,-8.741,diabetes
627,2000,4186.16,-2.444,prediabet
628,9500,4503.119,1.839,Sehat
629,6500,4188.907,-2.821,prediabet
630,1000,3915.283,-7.431,diabetes
631,1500,3799.593,-8.991,diabetes
632,15000,3600.694,-9.369,diabetes
633,750,3804.223,-7.816,diabetes
634,6000,3197.357,-10.577,diabetes
635,2500,4181.848,-2.536,prediabet
636,25000,3156.578,-6.807,diabetes
637,350,5180.184,9.653,Sehat
638,950,3949.917,-7.332,diabetes
639,500,4331.793,0.925,prediabet
640,85000,3442.994,18.5,diabetes
641,90000,3748.017,27.007,prediabet
642,1000,3680.162,-7.471,diabetes
643,600,3990.836,-0.114,prediabet
644,500,4146.734,-0.406,prediabet
645,50000,3214.779,3.029,diabetes
646,600,4325.305,-0.003,prediabet
647,7000,3026.506,-9.478,diabetes
648,400,4323.684,2.235,prediabet
649,200,4460.707,7.887,prediabet
650,85000,4315.59,29.53,Sehat
651,70000,3440.737,13.988,diabetes
652,3000,3612.52,-10.479,diabetes
653,15000,3649.944,-4.421,diabetes
654,850,3905.757,-7.116,diabetes
655,2000,3711.326,-10.644,diabetes
656,450,4178.715,0.245,prediabet
657,500,4960.738,6.669,Sehat
658,30000,4213.311,2.992,prediabet
659,3500,4025.385,-3.902,prediabet
660,4000,3748.674,-9.621,diabetes
661,8000,3272.213,-10.665,diabetes
662,40000,4388.165,9.514,Sehat
663,55000,4386.932,16.01,Sehat
664,950,3755.354,-8.498,diabetes
665,5500,3998.321,-3.667,prediabet
666,450,4301.058,1.448,prediabet
667,15000,3716.152,-8.152,diabetes
668,800,3932.93,-6.879,diabetes
669,750,3639.997,-7.888,diabetes
670,35000,3980.007,3.585,prediabet
671,85000,3833.25,26.6,prediabet
672,45000,4399.692,11.592,Sehat
673,250,3940.259,-0.264,diabetes
674,350,3561.105,-4.793,diabetes
675,200,5636.995,16.255,Sehat
676,6500,3495.282,-9.466,diabetes
677,400,4011.079,-3.575,diabetes
678,8000,4485.434,1.22,Sehat
679,70000,3661.59,14.01,diabetes
680,45000,3975.163,9.092,prediabet
681,650,4890.134,4.942,Sehat
682,200,3899.494,1.982,diabetes
683,5000,4044.665,-2.609,prediabet
684,7000,4014.838,-3.244,prediabet
685,35000,3294.053,-3.123,diabetes
686,700,3944.37,-6.457,diabetes
687,25000,3317.903,-6.782,diabetes
688,75000,3730.5,16.18,diabetes
689,50000,4107.294,11.002,prediabet
690,30000,3656.061,-3.823,diabetes
691,2500,4010.703,-3.689,prediabet
692,4500,4529.354,1.639,Sehat
693,750,3687.366,-7.904,diabetes
694,35000,3907.221,5.047,prediabet
695,750,4227.942,-0.73,prediabet
696,950,3787.909,-7.317,diabetes
697,85000,3153.622,18.485,diabetes
698,650,3631.184,-4.817,diabetes
699,6500,4497.216,1.431,Sehat
700,40000,4189.299,6.914,prediabet
701,750,4130.061,-0.971,prediabet
702,2500,3895.159,-4.173,prediabet
703,700,3919.687,-6.477,diabetes
704,45000,3986.725,9.103,prediabet
705,800,3793.901,-8.028,diabetes
706,2000,3285.73,-10.588,diabetes
707,950,3390.177,-9.553,diabetes
708,7500,3700.215,-8.731,diabetes
709,5500,4519.18,1.457,Sehat
710,9500,3827.867,-3.826,prediabet
711,2500,3915.283,-3.989,prediabet
712,100,4304.635,13.15,diabetes
713,25000,4460.29,4.518,Sehat
714,85000,3387.597,19.647,diabetes
715,90000,4273.342,31.504,Sehat
716,75000,2838.368,15.273,diabetes
717,7000,3342.239,-10.572,diabetes
718,2000,3375.873,-9.444,diabetes
719,10000,3678.739,-9.003,diabetes
720,5500,3693.288,-9.044,diabetes
721,2000,4609.841,1.888,Sehat
722,40000,4377.079,9.499,Sehat
